Stage2 Cold 1/80:   1%|▏         | 115/7829 [00:05<05:59, 21.46it/s, loss=0.8234, hdr=0.0324, cold=0.0398]
Stage2 Cold 1/80:   1%|▏         | 115/7829 [00:05<05:59, 21.46it/s, loss=0.8235, hdr=0.0108, cold=0.0493]
Stage2 Cold 1/80:   1%|▏         | 115/7829 [00:05<05:59, 21.46it/s, loss=0.8223, hdr=0.0081, cold=0.0362]
Stage2 Cold 1/80:   1%|▏         | 115/7829 [00:05<05:59, 21.46it/s, loss=0.8236, hdr=0.1220, cold=0.0710]
Stage2 Cold 1/80:   2%|▏         | 118/7829 [00:05<05:57, 21.55it/s, loss=0.8236, hdr=0.1220, cold=0.0710]
Stage2 Cold 1/80:   2%|▏         | 118/7829 [00:06<05:57, 21.55it/s, loss=0.8214, hdr=0.0059, cold=0.0480]
Stage2 Cold 1/80:   2%|▏         | 118/7829 [00:06<05:57, 21.55it/s, loss=0.8213, hdr=0.0263, cold=0.0510]
Stage2 Cold 1/80:   2%|▏         | 118/7829 [00:06<05:57, 21.55it/s, loss=0.8199, hdr=0.0075, cold=0.0626]
Stage2 Cold 1/80:   2%|▏         | 121/7829 [00:06<05:57, 21.57it/s, loss=0.8199, hdr=0.0075, cold=0.0626]
Stage2 Cold 1/80:   2%|▏         | 121/7829 [00:06<05:57, 21.57it/s, loss=0.8295, hdr=0.9198, cold=0.0078]
Stage2 Cold 1/80:   2%|▏         | 121/7829 [00:06<05:57, 21.57it/s, loss=0.8297, hdr=0.0061, cold=0.0023]
Stage2 Cold 1/80:   2%|▏         | 121/7829 [00:06<05:57, 21.57it/s, loss=0.8257, hdr=0.0075, cold=0.0365]
Stage2 Cold 1/80:   2%|▏         | 124/7829 [00:06<05:56, 21.63it/s, loss=0.8257, hdr=0.0075, cold=0.0365]
Stage2 Cold 1/80:   2%|▏         | 124/7829 [00:06<05:56, 21.63it/s, loss=0.8228, hdr=0.0089, cold=0.0652]
Stage2 Cold 1/80:   2%|▏         | 124/7829 [00:06<05:56, 21.63it/s, loss=0.8246, hdr=0.0461, cold=0.0140]
Stage2 Cold 1/80:   2%|▏         | 124/7829 [00:06<05:56, 21.63it/s, loss=0.8258, hdr=0.0243, cold=0.0591]
Stage2 Cold 1/80:   2%|▏         | 127/7829 [00:06<05:55, 21.66it/s, loss=0.8258, hdr=0.0243, cold=0.0591]
Stage2 Cold 1/80:   2%|▏         | 127/7829 [00:06<05:55, 21.66it/s, loss=0.8238, hdr=0.0291, cold=0.0684]
Stage2 Cold 1/80:   2%|▏         | 127/7829 [00:06<05:55, 21.66it/s, loss=0.8217, hdr=0.0069, cold=0.0432]
Stage2 Cold 1/80:   2%|▏         | 127/7829 [00:06<05:55, 21.66it/s, loss=0.8208, hdr=0.0061, cold=0.0385]
Stage2 Cold 1/80:   2%|▏         | 130/7829 [00:06<05:55, 21.68it/s, loss=0.8208, hdr=0.0061, cold=0.0385]
Stage2 Cold 1/80:   2%|▏         | 130/7829 [00:06<05:55, 21.68it/s, loss=0.8206, hdr=0.0084, cold=0.0164]
Stage2 Cold 1/80:   2%|▏         | 130/7829 [00:06<05:55, 21.68it/s, loss=0.8188, hdr=0.0096, cold=0.0592]
Stage2 Cold 1/80:   2%|▏         | 130/7829 [00:06<05:55, 21.68it/s, loss=0.8196, hdr=0.0063, cold=0.0089]
Stage2 Cold 1/80:   2%|▏         | 133/7829 [00:06<05:55, 21.67it/s, loss=0.8196, hdr=0.0063, cold=0.0089]
Stage2 Cold 1/80:   2%|▏         | 133/7829 [00:06<05:55, 21.67it/s, loss=0.8175, hdr=0.0066, cold=0.0490]
Stage2 Cold 1/80:   2%|▏         | 133/7829 [00:06<05:55, 21.67it/s, loss=0.8174, hdr=0.0066, cold=0.0162]
Stage2 Cold 1/80:   2%|▏         | 133/7829 [00:06<05:55, 21.67it/s, loss=0.8166, hdr=0.0163, cold=0.0405]
Stage2 Cold 1/80:   2%|▏         | 136/7829 [00:06<05:54, 21.67it/s, loss=0.8166, hdr=0.0163, cold=0.0405]
